Compound,Temperature,pH,Solvent 1,Base,Chelator,Chelator_amount,Pd_removal_efficiency
Palladium(II) acetate,20,10.39,Ethyl acetate,Potassium carbonate,Sodium diethyldithiocarbamate,5,0.726141079
Palladium(II) acetate,20,12.19,Ethyl acetate,Potassium hydroxide,Sodium diethyldithiocarbamate,5,0.723201936
Palladium(II) acetate,20,9.30,Methyl isobutyl ketone,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,5,0.567341862
Palladium(II) acetate,20,11.13,Methyl isobutyl ketone,Potassium bicarbonate,Sodium diethyldithiocarbamate,5,0.668798863
Palladium(II) acetate,20,10.39,Methyl isobutyl ketone,Potassium carbonate,Sodium diethyldithiocarbamate,5,0.733084577
Palladium(II) acetate,20,12.19,Methyl isobutyl ketone,Potassium hydroxide,Sodium diethyldithiocarbamate,5,0.663823738
Palladium(II) acetate,20,9.30,Cyclopentyl methyl ether,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,5,0.799078668
Palladium(II) acetate,20,11.13,Cyclopentyl methyl ether,Potassium bicarbonate,Sodium diethyldithiocarbamate,5,0.82654146
Palladium(II) acetate,20,10.39,Cyclopentyl methyl ether,Potassium carbonate,Sodium diethyldithiocarbamate,5,0.735116938
Palladium(II) acetate,20,12.19,Cyclopentyl methyl ether,Potassium hydroxide,Sodium diethyldithiocarbamate,5,0.87491141
Palladium(II) acetate,20,9.17,2-methyltetrahydrofuran,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,10,0.636795655
Palladium(II) acetate,20,11.56,2-methyltetrahydrofuran,Potassium bicarbonate,Sodium diethyldithiocarbamate,10,0.689748812
Palladium(II) acetate,20,10.61,2-methyltetrahydrofuran,Potassium carbonate,Sodium diethyldithiocarbamate,10,0.777834352
Palladium(II) acetate,20,12.24,2-methyltetrahydrofuran,Potassium hydroxide,Sodium diethyldithiocarbamate,10,0.716564834
Palladium(II) acetate,20,9.17,Toluene,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,10,0.624914676
Palladium(II) acetate,20,11.56,Toluene,Potassium bicarbonate,Sodium diethyldithiocarbamate,10,0.676791809
Palladium(II) acetate,20,10.61,Toluene,Potassium carbonate,Sodium diethyldithiocarbamate,10,0.695733788
Palladium(II) acetate,20,12.24,Toluene,Potassium hydroxide,Sodium diethyldithiocarbamate,10,0.777133106
Palladium(II) acetate,20,9.17,Ethyl acetate,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,10,0.790456432
Palladium(II) acetate,20,11.56,Ethyl acetate,Potassium bicarbonate,Sodium diethyldithiocarbamate,10,0.761410788
Palladium(II) acetate,20,10.61,Ethyl acetate,Potassium carbonate,Sodium diethyldithiocarbamate,10,0.703388658
Palladium(II) acetate,20,12.24,Ethyl acetate,Potassium hydroxide,Sodium diethyldithiocarbamate,10,0.751383126
Palladium(II) acetate,20,9.17,Methyl isobutyl ketone,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,10,0.773276475
Palladium(II) acetate,20,11.56,Methyl isobutyl ketone,Potassium bicarbonate,Sodium diethyldithiocarbamate,10,0.659914712
Palladium(II) acetate,20,10.61,Methyl isobutyl ketone,Potassium carbonate,Sodium diethyldithiocarbamate,10,0.583866382
Palladium(II) acetate,20,12.24,Methyl isobutyl ketone,Potassium hydroxide,Sodium diethyldithiocarbamate,10,0.589552239
Palladium(II) acetate,20,9.17,Cyclopentyl methyl ether,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,10,0.737420269
Palladium(II) acetate,20,11.56,Cyclopentyl methyl ether,Potassium bicarbonate,Sodium diethyldithiocarbamate,10,0.780120482
Palladium(II) acetate,20,10.61,Cyclopentyl methyl ether,Potassium carbonate,Sodium diethyldithiocarbamate,10,0.722360028
Palladium(II) acetate,20,12.24,Cyclopentyl methyl ether,Potassium hydroxide,Sodium diethyldithiocarbamate,10,0.897590361
Palladium(II) acetate,40,11.71,2-methyltetrahydrofuran,Potassium phosphate tribasic,N-acetyl cysteine,5,0.983355526
Palladium(II) acetate,40,8.83,2-methyltetrahydrofuran,Potassium bicarbonate,N-acetyl cysteine,5,0.983355526
Palladium(II) acetate,40,9.86,2-methyltetrahydrofuran,Potassium carbonate,N-acetyl cysteine,5,0.983355526
Palladium(II) acetate,40,12.45,2-methyltetrahydrofuran,Potassium hydroxide,N-acetyl cysteine,5,0.983355526
Palladium(II) acetate,40,11.71,Toluene,Potassium phosphate tribasic,N-acetyl cysteine,5,0.982431483
Palladium(II) acetate,40,8.83,Toluene,Potassium bicarbonate,N-acetyl cysteine,5,0.982431483
Palladium(II) acetate,40,9.86,Toluene,Potassium carbonate,N-acetyl cysteine,5,0.982431483
Palladium(II) acetate,40,12.45,Toluene,Potassium hydroxide,N-acetyl cysteine,5,0.982431483
Palladium(II) acetate,40,11.71,Ethyl acetate,Potassium phosphate tribasic,N-acetyl cysteine,5,0.982517483
Palladium(II) acetate,40,8.83,Ethyl acetate,Potassium bicarbonate,N-acetyl cysteine,5,0.982517483
Palladium(II) acetate,40,9.86,Ethyl acetate,Potassium carbonate,N-acetyl cysteine,5,0.982517483
Palladium(II) acetate,40,12.45,Ethyl acetate,Potassium hydroxide,N-acetyl cysteine,5,0.982517483
Palladium(II) acetate,40,11.71,Methyl isobutyl ketone,Potassium phosphate tribasic,N-acetyl cysteine,5,0.983128058
Palladium(II) acetate,40,8.83,Methyl isobutyl ketone,Potassium bicarbonate,N-acetyl cysteine,5,0.983128058
Palladium(II) acetate,40,9.86,Methyl isobutyl ketone,Potassium carbonate,N-acetyl cysteine,5,0.983128058
Palladium(II) acetate,40,12.45,Methyl isobutyl ketone,Potassium hydroxide,N-acetyl cysteine,5,0.983128058
Palladium(II) acetate,40,11.71,Cyclopentyl methyl ether,Potassium phosphate tribasic,N-acetyl cysteine,5,0.982853224
Palladium(II) acetate,40,8.83,Cyclopentyl methyl ether,Potassium bicarbonate,N-acetyl cysteine,5,0.982853224
